date,price_usd,hashrate_th_s,difficulty,transactions_count,miners_revenue_usd,electricity_price_usd_kwh,efficiency_j_th,miners_revenue_btc
2023-09-15,26536.02,506061817.4019002,54150142369480.0,703692.0,32037508.81394793,0.0801,17.5,1207.3215506299712
2023-09-16,26605.75,417231817.5388007,54150142369480.0,593144.0,26464639.49322597,0.0801,17.5,994.6962402197258
2023-09-17,26568.65,401080908.4727827,54150142369480.0,611220.0,25479813.23061756,0.0801,17.5,959.0179866352847
2023-09-18,26536.54,419923635.7164705,54150142369480.0,635845.0,27760078.561090413,0.0801,17.5,1046.1076900413698
2023-09-19,26763.76,385677556.7313763,55816608966185.68,493887.0,25100244.17051251,0.0801,17.5,937.8444646982528
2023-09-20,27222.12,414558853.7494199,57119871304635.0,551783.0,26065716.14019558,0.0801,17.5,957.5196986934001
2023-09-21,27133.55,391843300.11931473,57119871304635.0,431540.0,24381114.45169429,0.0801,17.5,898.5596964530735
2023-09-22,26569.6,366288302.2854464,57119871304635.0,441679.0,22706065.06682296,0.0801,17.5,854.5881408385133
2023-09-23,26581.86,442953295.7870514,57119871304635.0,629617.0,27666483.92267293,0.0801,17.5,1040.8031613541314
2023-09-24,26580.72,414558853.7494199,57119871304635.0,441181.0,25269067.88255642,0.0801,17.5,950.6540034489818
2023-09-25,26252.75,411719409.5456568,57119871304635.0,285750.0,24661550.73070846,0.0801,17.5,939.3892346785941
2023-09-26,26293.29,386164411.7117884,57119871304635.0,309789.0,23061586.50874123,0.0801,17.5,877.090181895884
2023-09-27,26212.82,445792739.99081457,57119871304635.0,337265.0,26698372.824476056,0.0801,17.5,1018.5234867700635
2023-09-28,26357.65,414558853.7494199,57119871304635.0,378975.0,25747626.19191773,0.0801,17.5,976.8559105958888
2023-09-29,27021.15,417398297.9531831,57119871304635.0,330269.0,25946534.412971757,0.0801,17.5,960.2305754185797
2023-09-30,26916.91,391843300.11931473,57119871304635.0,275474.0,23854988.05610223,0.0801,17.5,886.2454143548509
2023-10-01,26970.43,400361632.7306042,57119871304635.0,320516.0,24442856.9810465,0.0779,17.5,906.2835476129413
2023-10-02,27983.92,445792739.99081457,57119871304635.0,344263.0,28329529.39362417,0.0779,17.5,1012.350285221805
2023-10-03,27532.51,466751379.41330886,57252656596459.91,310664.0,28995037.486792862,0.0779,17.5,1053.120020179521
2023-10-04,27430.23,373280259.4846018,57321508229258.0,287430.0,23240602.983478397,0.0779,17.5,847.2624175400059
2023-10-05,27797.56,401774935.7811363,57321508229258.0,319310.0,25110031.20892198,0.0779,17.5,903.3178167048467
2023-10-06,27416.69,455914820.74455184,57321508229258.0,298650.0,28870637.172927104,0.0779,17.5,1053.0314626939687
2023-10-07,27946.61,487258964.67073977,57321508229258.0,244567.0,31014954.909119453,0.0779,17.5,1109.7930986663303
2023-10-08,27973.26,421721209.1887104,57321508229258.0,242440.0,27314613.07005192,0.0779,17.5,976.4544093198976
2023-10-09,27937.18,444516950.225938,57321508229258.0,283648.0,27541014.339650355,0.0779,17.5,985.8194112523295
2023-10-10,27581.42,461613756.0038587,57321508229258.0,285060.0,28707330.94272675,0.0779,17.5,1040.8213551995057
2023-10-11,27395.65,455914820.74455184,57321508229258.0,264600.0,27666095.64227482,0.0779,17.5,1009.871846160789
2023-10-12,26867.79,470162158.8928191,57321508229258.0,267090.0,28303571.441823736,0.0779,17.5,1053.4387622437027
2023-10-13,26758.66,393226532.892176,57321508229258.0,279518.0,24087147.49294529,0.0779,17.5,900.162694729306
2023-10-14,26866.51,416022273.9294035,57321508229258.0,265220.0,25258288.02604316,0.0779,17.5,940.1402722587773
2023-10-15,26855.89,475861094.152126,57321508229258.0,251923.0,28431414.424704663,0.0779,17.5,1058.6658801739457
2023-10-16,27167.87,416156889.9191482,59373391582489.234,299782.0,25518086.84010881,0.0779,17.5,939.2744753309263
2023-10-17,28517.32,491483968.444345,61030681983176.0,294257.0,30742974.361832604,0.0779,17.5,1078.045705621447
2023-10-18,28413.17,439908490.27425945,61030681983176.0,271345.0,26281695.00654422,0.0779,17.5,924.9828514926079
2023-10-19,28331.5,424739231.98894006,61030681983176.0,282007.0,25797505.89202465,0.0779,17.5,910.559126485525
2023-10-20,28723.49,406536122.04655695,61030681983176.0,295888.0,26023036.304821745,0.0779,17.5,905.9844853401081
2023-10-21,29682.6,455077748.5595787,61030681983176.0,270621.0,28815660.22229157,0.0779,17.5,970.7929973213793
2023-10-22,29921.68,464179303.53077024,61030681983176.0,252457.0,28981484.98366903,0.0779,17.5,968.5781341044029
2023-10-23,29990.73,476314710.1590258,61030681983176.0,301780.0,30814659.955034763,0.0779,17.5,1027.4728209361613
2023-10-24,33059.98,382265308.7900461,61030681983176.0,373854.0,28536795.17404676,0.0779,17.5,863.1824693797987
2023-10-25,33902.65,436874638.6171956,61030681983176.0,476549.0,32725349.07621698,0.0779,17.5,965.2740737439988
2023-10-26,34493.19,455077748.5595787,61030681983176.0,431256.0,33251001.232997146,0.0779,17.5,963.9874199225164
2023-10-27,34157.79,467213155.1878341,61030681983176.0,452816.0,34005980.0507042,0.0779,17.5,995.5556273021235
2023-10-28,33911.08,485416265.1302173,61030681983176.0,564383.0,34772370.76564866,0.0779,17.5,1025.3985059057
2023-10-29,34090.68,415637677.0177486,61030681983176.0,410290.0,30266520.88938549,0.0779,17.5,887.8239122653315
2023-10-30,34532.39,482540025.495944,62224673386140.1,463202.0,35089903.5789379,0.0779,17.5,1016.1446566234745
2023-10-31,34501.0,481286782.8761844,62463471666732.93,433751.0,33982514.00176837,0.0779,17.5,984.9718559394909
2023-11-01,34662.16,462656326.7648482,62463471666732.97,463644.0,32922837.157770928,0.0761,17.5,949.820702396242
2023-11-02,35440.51,447130946.6720681,62463471666733.0,403541.0,33351243.13283544,0.0761,17.5,941.0486229694617
2023-11-03,34934.65,422290338.52361983,62463471666733.0,452354.0,30526523.557337712,0.0761,17.5,873.8179302594333
2023-11-04,34736.55,521652771.1174128,62463471666732.86,698917.0,40679663.2595844,0.0761,17.5,1171.091062859852
