date,avg_block_size,cost_per_tx,dificultad,dificultad_btc,fees_total_btc,hashrate,hashrate_btc,ingresos_mineros_btc,market_cap,mempool_size,miners_revenue_usd,n_unique_addresses,precio_btc,total_btc_sent,trade_volume_exchange,transacciones_btc,transacciones_dia,transacciones_segundo,efficiency_j_th,elec_cost_kwh,attack_hourly_cost_usd
2015-02-05,0.29808627672956,11.2083161272888,41272873894.697,41272873894.697,12.09566718,301597.796385178,301597.796385178,1085648.70840532,3128987918.0663266,21995935.986486487,1085648.70840532,176000.0,226.71,13801719.897959184,3400203.3813,86567.0,86567.0,2.322569444444444,439.38271604938274,0.0683,9050.901464934588
2015-02-06,0.260908632768362,11.9196169097615,41272873894.697,41272873894.697,11.70807312,359044.995696641,359044.995696641,1180053.9936833,2995618760.34375,21995935.986486487,1180053.9936833,201370.0,216.98,13805967.1875,2812659.6648,85705.0,85705.0,2.322569444444444,438.3127572016461,0.0683,10748.644338187829
2015-02-07,0.28494558490566,11.3003725491894,41272873894.697,41272873894.697,11.76433401,352889.938627556,352889.938627556,1098079.80134983,3070834866.9020977,21995935.986486487,1098079.80134983,159160.0,222.36,13810194.58041958,2428824.9384,85699.0,85699.0,2.322569444444444,437.24279835390945,0.0683,10538.593306081668
2015-02-08,0.406654606060606,9.62168862212839,41272873894.697,41272873894.697,11.7527563,262615.768280972,262615.768280972,862815.305500741,3167514464.334677,21995935.986486487,862815.305500741,264578.0,229.3,13813844.153225806,2229924.156,82679.0,82679.0,2.322569444444444,436.17283950617286,0.0683,7823.4826034191165
2015-02-09,0.366250447204969,9.00034786692824,44455415962.3438,44455415962.3438,14.88796877,342533.060667745,342533.060667745,1084298.90857245,3094151299.785473,21995935.986486487,1084298.90857245,191360.0,223.93,13817493.412162162,3084622.3142,104758.0,104758.0,2.322569444444444,435.1028806584362,0.0683,10179.235392800685
2015-02-10,0.397552368055555,8.69718799687488,44455415962.3438,44455415962.3438,14.33710661,331483.607097818,331483.607097818,937991.725462956,3039721482.1277776,21995935.986486487,937991.725462956,196075.0,219.93,13821313.518518519,4280748.3102,102975.0,102975.0,2.322569444444444,434.0329218106996,0.0683,9826.648738985385
2015-02-11,0.347811962025317,9.21964293749231,44455415962.3438,44455415962.3438,14.40657851,331483.607097818,331483.607097818,973022.676337063,3046490279.97351,21995935.986486487,973022.676337063,191881.0,220.36,13825060.264900662,1517643.5596,97048.0,97048.0,2.322569444444444,432.96296296296293,0.0683,9802.424517195906
2015-02-12,0.421358243697479,7.6838344791255,44455415962.3438,44455415962.3438,12.55298681,300545.137102021,300545.137102021,700112.57856552,3036747240.7826085,21995935.986486487,700112.57856552,198875.0,219.6,13828539.347826088,2338397.424,87427.0,87427.0,2.322569444444444,431.89300411522635,0.0683,8865.568267835146
2015-02-13,0.501242534246575,7.29254290321407,44455415962.3438,44455415962.3438,17.42269239,309384.699957963,309384.699957963,871174.467760856,3075227562.9787235,21995935.986486487,871174.467760856,274903.0,222.33,13831815.602836879,1545266.8689,113660.0,113660.0,2.322569444444444,430.8230452674897,0.0683,9103.711002042477
2015-02-14,0.4160309625,9.79966419006124,44455415962.3438,44455415962.3438,15.01567083,355792.404951658,355792.404951658,1034325.15626839,3277679304.1666665,21995935.986486487,1034325.15626839,214118.0,236.9,13835708.333333334,5083208.311,98773.0,98773.0,2.322569444444444,429.7530864197531,0.0683,10443.26698762816
